1,N181E-03,1,JUC000000108
2,N264-03,1,JUC000000828
3,N264-17,1,JUC000000996
4,N264-17S,1,JUC000000828
5,N264-36,2,JUC000000828
6,N264-50S,1,JUC000000996
7,N528-26,2,JUC000000513
8,N528-41,6,JUC000000009
9,N528-41S,1,JUC000000659
10,N528-42,3,JUC000000037
11,N528-42S,1,JUC000001329
12,N528-49,3,JUC000000513
13,N528-50,1,JUC000000659
14,T517N-49,1,JUC000000684
15,T623H-17,1,JUC000001335
