N181    X  03           28/2522,X,N181E-03,1,JUC000000108,2019/11/12
N264       36           MYS/TAU,,N264-36,2,JUC000000828,2019/11/12
N264    AN 03           MYS/TAU        1,AN,N264-03,1,JUC000000828,2019/11/12
N264    AN 17           22/5600        1,AN,N264-17,1,JUC000000996,2019/11/12
N264    AN 17S          MYS/TAU        1,AN,N264-17S,1,JUC000000828,2019/11/12
N264    AN 50S          22/5600        1,AN,N264-50S,1,JUC000000996,2019/11/12
N528       26           18/3928,,N528-26,1,JUC000000659,2019/11/12
N528       26           48/2609,,N528-26,1,JUC000000513,2019/11/12
N528       41       BW  38/2568,,N528-41,1,JUC000001873,2019/11/12
N528       41       BW  38/2568,,N528-41,1,JUC000001874,2019/11/12
N528       41       BW  38/2568,,N528-41,1,JUC000001875,2019/11/12
N528       41       BW  38/2568,,N528-41,1,JUC000001876,2019/11/12
N528       41       BW  38/2568,,N528-41,1,JUC000001877,2019/11/12
N528       41    »      18/5166,,N528-41,1,JUC000000009,2019/11/12
N528       41S      GY  18/3928,,N528-41S,1,JUC000000659,2019/11/12
N528       42       BW  38/4228,,N528-42,1,JUC000000037,2019/11/12
N528       42       DB  48/2609,,N528-42,1,JUC000000513,2019/11/12
N528       42       GY  22/5509,,N528-42,1,JUC000001872,2019/11/12
N528       42S      BW  22/2807,,N528-42S,1,JUC000001329,2019/11/12
N528       49       BW  22/2807,,N528-49,1,JUC000001329,2019/11/12
N528       49       DB  48/2609,,N528-49,1,JUC000000513,2019/11/12
N528       49       GY  22/5509,,N528-49,1,JUC000001872,2019/11/12
N528       50       GY  18/3928,,N528-50,1,JUC000000659,2019/11/12
T517    N  49           VER/SMO,N,T517N-49,1,JUC000000684,2019/11/12
T623    HN 17       DB  DIN/LEA,HN,T623H-17,1,JUC000001335,2019/11/12
