D528       10       GY  18/5166,,D528-10,4,JUC000001200,2019/11/13
N181    X  03           L1/216,X,N181E-03,1,JUC000000041,2019/11/13
N181    X  11           T7179,X,N181E-11,1,JUC000000079,2019/11/13
N181    X  12           T7179,X,N181E-12,1,JUC000000079,2019/11/13
N264       36           38/2690,,N264-36,1,JUC000000081,2019/11/13
N264    AN 06           38/2690        1,AN,N264-06,1,JUC000000081,2019/11/13
N264    AN 17S          38/2690        1,AN,N264-17S,1,JUC000000081,2019/11/13
N338       17       BW  38/4222,,N338-17,1,JUC000000061,2019/11/13
N528       26           18/5166,,N528-26,1,JUC000001199,2019/11/13
N528       42       BW  48/2608,,N528-42,1,JUC000000336,2019/11/13
N528       42       GY  38/6178,,N528-42,1,JUC000000057,2019/11/13
N528       49       BW  48/2608,,N528-49,1,JUC000000336,2019/11/13
N528       49       BW  L3/518        2,,N528-49,1,JUC000000106,2019/11/13
N528       49       GY  38/6178,,N528-49,1,JUC000000057,2019/11/13
S307       48           18/3808,,S307-48,1,JUC000000070,2019/11/13
